municipios,regioes
ABAIARA,Cariri
ALTANEIRA,Cariri
ANTONINA DO NORTE,Cariri
ARARIPE,Cariri
ASSARE,Cariri
AURORA,Cariri
BARBALHA,Cariri
BARRO,Cariri
BREJO SANTO,Cariri
CAMPOS SALES,Cariri
CARIRIACU,Cariri
CRATO,Cariri
FARIAS BRITO,Cariri
GRANJEIRO,Cariri
JARDIM,Cariri
JATI,Cariri
JUAZEIRO DO NORTE,Cariri
MAURITI,Cariri
MILAGRES,Cariri
MISSAO VELHA,Cariri
NOVA OLINDA,Cariri
PENAFORTE,Cariri
PORTEIRAS,Cariri
POTENGI,Cariri
SALITRE,Cariri
SANTANA DO CARIRI,Cariri
TARRAFAS,Cariri
VARZEA ALEGRE,Cariri
ARACATI,Grande Fortaleza
CAUCAIA,Grande Fortaleza
CHOROZINHO,Grande Fortaleza
EUSEBIO,Grande Fortaleza
FORTALEZA,Grande Fortaleza
GUAIÚBA,Grande Fortaleza
HORIZONTE,Grande Fortaleza
ITAITINGA,Grande Fortaleza
MARACANAU,Grande Fortaleza
MARANGUAPE,Grande Fortaleza
PACAJUS,Grande Fortaleza
PACATUBA,Grande Fortaleza
PARAIPABA,Grande Fortaleza
SAO GONCALO DO AMARANTE,Grande Fortaleza
SAO LUÍS DO CURU,Grande Fortaleza
TRAIRI,Grande Fortaleza
ALCANTARAS,Região Norte
CARIRE,Região Norte
COREAU,Região Norte
FORQUILHA,Região Norte
FRECHEIRINHA,Região Norte
GRACA,Região Norte
GROAIRAS,Região Norte
MERUOCA,Região Norte
MIRAIMA,Região Norte
MORAUJO,Região Norte
PACUJA,Região Norte
RERIUTABA,Região Norte
SANTANA DO ACARAU,Região Norte
SENADOR SA,Região Norte
SOBRAL,Região Norte
URUOCA,Região Norte
VARJOTA,Região Norte
MASSAPE,Região Norte
ACARAU,Litoral Norte
BARROQUINHA,Litoral Norte
BELA CRUZ,Litoral Norte
CAMOCIM,Litoral Norte
CHAVAL,Litoral Norte
CRUZ,Litoral Norte
GRANJA,Litoral Norte
ITAREMA,Litoral Norte
JIJOCA DE JERICOACOARA,Litoral Norte
MARCO,Litoral Norte
MARTINOPOLE,Litoral Norte
MORRINHOS,Litoral Norte
BEBERIBE,Litoral Leste
CASCAVEL,Litoral Leste
FORTIM,Litoral Leste
ICAPUI,Litoral Leste
ITAICABA,Litoral Leste
JAGUARUANA,Litoral Leste
PINDORETAMA,Litoral Leste
AQUIRAZ,Litoral Leste
ARARENDA,Sertão de Crateús
CATUNDA,Sertão de Crateús
CRATEUS,Sertão de Crateús
HIDROLANDIA,Sertão de Crateús
INDEPENDENCIA,Sertão de Crateús
IPAPORANGA,Sertão de Crateús
IPU,Sertão de Crateús
IPUEIRAS,Sertão de Crateús
MONSENHOR TABOSA,Sertão de Crateús
NOVA RUSSAS,Sertão de Crateús
NOVO ORIENTE,Sertão de Crateús
PORANGA,Sertão de Crateús
